Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
1,Matty Cash,pl POL,DF,Aston Villa,23,1997,38,38,3377,37.5,4,3,4,0,0,8,0,3.4,3.4,3.3,6.7,2389cdc2
2,Conor Coady,eng ENG,DF,Wolves,28,1993,38,38,3361,37.3,4,0,4,0,0,4,0,2.9,2.9,0.1,3.0,2928dca2
3,David de Gea,es ESP,GK,Manchester Utd,30,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7ba6d84e
4,Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,38,3420,38.0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,8f62b6ee
5,Illan Meslier,fr FRA,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6b625ac2
6,Ederson,br BRA,GK,Manchester City,27,1993,37,37,3330,37.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,3bb7b8b4
7,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,37,3330,37.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,9328b835
8,Pontus Jansson,se SWE,DF,Brentford,30,1991,37,37,3321,36.9,3,1,3,0,0,7,0,3.0,3.0,0.5,3.5,172e52d8
9,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,8,3,3,4,0,12.7,10.3,3.6,14.0,0745b37d
10,José Sá,pt POR,GK,Wolves,28,1993,37,37,3285,36.5,0,1,0,0,0,3,0,0.0,0.0,0.4,0.4,903b6e8b
11,Robert Sánchez,es ESP,GK,Brighton,23,1997,37,37,3329,37.0,0,0,0,0,0,3,1,0.0,0.0,0.4,0.4,6a713852
12,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,37,3330,37.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,53af52f3
13,Alisson,br BRA,GK,Liverpool,28,1992,36,36,3240,36.0,0,1,0,0,0,0,0,0.0,0.0,1.0,1.0,7a2e46a8
14,João Cancelo,pt POR,DF,Manchester City,27,1994,36,36,3227,35.9,1,7,1,0,0,7,0,5.1,5.1,6.1,11.2,bd6351cd
15,Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,36,36,3222,35.8,2,1,2,0,0,4,0,2.4,2.4,1.2,3.6,d0706b27
16,Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,36,36,3196,35.5,2,2,2,0,0,3,0,2.8,2.8,2.3,5.1,8b04d6c1
17,Harry Kane,eng ENG,FW,Tottenham,28,1993,37,36,3232,35.9,17,9,13,4,4,5,0,19.6,16.4,9.3,25.7,21a66f6a
18,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,3240,36.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,7956236f
19,Nick Pope,eng ENG,GK,Burnley,29,1992,36,36,3240,36.0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4b40d9ca
20,Bukayo Saka,eng ENG,MF,Arsenal,19,2001,38,36,2978,33.1,11,7,9,2,2,6,0,11.2,10.2,8.3,18.5,bc7dc64d
21,Moussa Sissoko,fr FRA,MF,Watford,31,1989,36,36,3220,35.8,2,1,2,0,0,5,0,3.4,3.3,4.3,7.6,2acd49b9
22,James Ward-Prowse,eng ENG,MF,Southampton,26,1994,36,36,3215,35.7,10,5,6,4,4,3,1,5.9,2.7,7.3,10.0,3515d404
23,Marc Cucurella,es ESP,DF,Brighton,23,1998,35,35,3089,34.3,1,1,1,0,0,6,0,1.0,1.0,3.2,4.2,1daec722
24,Eric Dier,eng ENG,DF,Tottenham,27,1994,35,35,3071,34.1,0,0,0,0,0,1,0,1.3,1.3,0.7,2.0,ac861941
25,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,35,35,3063,34.0,5,0,5,0,0,8,1,3.3,3.3,0.8,4.1,67ac5bb8
26,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,36,35,3111,34.6,10,6,10,0,2,10,0,11.6,10.0,9.7,19.7,507c7bdf
27,Son Heung-min,kr KOR,MFFW,Tottenham,29,1992,35,35,3006,33.4,23,7,23,0,0,2,0,15.6,15.6,8.5,24.1,92e7e919
28,John McGinn,sct SCO,MF,Aston Villa,26,1994,35,35,3090,34.3,3,4,3,0,0,8,0,1.8,1.8,5.4,7.2,90f91999
29,Dwight McNeil,eng ENG,MF,Burnley,21,1999,38,35,3107,34.5,0,1,0,0,0,1,0,2.9,2.9,5.3,8.3,fc15fb84
30,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,1,0,0,11,0,2.2,2.2,1.1,3.3,8397a50c
31,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,0,0,0,1,0,0.4,0.4,1.8,2.3,5cbd1eb0
32,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,35,35,3054,33.9,3,4,3,0,0,8,0,4.3,4.3,3.9,8.2,df0a4c90
33,Jordan Pickford,eng ENG,GK,Everton,27,1994,35,35,3150,35.0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4806ec67
34,Declan Rice,eng ENG,MF,West Ham,22,1999,36,35,3179,35.3,1,4,1,0,0,8,0,1.6,1.6,2.1,3.7,1c7012b8
35,James Tarkowski,eng ENG,DF,Burnley,28,1992,35,35,3106,34.5,1,2,1,0,0,11,0,2.8,2.8,0.8,3.6,15ea812b
36,Michail Antonio,jm JAM,FW,West Ham,31,1990,36,34,2971,33.0,10,8,10,0,1,8,1,12.8,12.3,6.9,19.2,ac05f970
37,Jarrod Bowen,eng ENG,MF,West Ham,24,1996,36,34,2983,33.1,12,10,12,0,0,6,0,13.3,13.3,5.9,19.2,79c84d1c
38,Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,34,34,2919,32.4,1,1,1,0,0,5,0,2.3,2.3,2.8,5.2,67ca8566
